,title,text,category
51,경주,        대구 친한 형의 장례식 참석을 위해 한국을 찾은 북경대 교수 최현 박해일  문득  년 전 보았던 춘화의 기억을 더듬어 충동적으로 경주로 향한다           경주 찻집 아리솔   년 전 여기 있던 춘화 못 봤어요   베일에 싸인 미모의 찻집 주인 공윤희 신민아 는 대뜸 춘화의 행방부터 묻는 수상한 남자 최현을 변태   로 오인한다          신경주역 과거의 애인 여정 윤진서 을 경주로 부른 최현은 오랜만의 만남에 설레 하지만 누군가에게 쫓기듯 내내 불안해하던 여정은 곧 서울로 돌아가 버린다          보문호수 여정이 서울로 떠난 뒤  생각에 잠겨 홀로 보문호수를 산책하던 최현은 무언가에 이끌리듯 다시 찻집 아리솔로 발걸음을 옮긴다          계모임 수상한 첫인상과는 달리 의외로 순수한 최현의 모습에 호기심을 느낀 윤희는 그를 절친한 친구 다연 신소율   형사 영민 김태훈   플로리스트 강선생 류승완   박교수 백현진 와 함께하는 자신의 경주 계모임에 초대한다           고분능 계모임 술자리를 파하고  함께 밤거리를 걷던 최현과 윤희 그리고 윤희를 짝사랑하는 영민은 술김에 고분능 위로 몰래 올라가 경주 시내의 아름다운 밤 풍경을 감상한다          윤희의 집 경주의 밤이 깊도록 함께 시간을 보낸 윤희와 최현 윤희는 머물 곳 없는 최현을 자신의 집으로 초대하고 단둘만 남은 공간에서 두 사람 사이에 미묘한 기류가 흐르기 시작하는데   가슴 설레는 로맨틱 시간여행이 시작된다 ,drama
52,NULL,NULL,drama
53,NULL,NULL,drama
54,NULL,NULL,drama
55,더 셰프,미슐랭  스타라는 명예와 부를 거머쥔 프랑스 최고의 셰프  아담 존스  브래들리 쿠퍼   모든 것이 완벽해야만 하는 강박증세에 시달리던 그는 괴팍한 성격 탓에 일자리를 잃게 되고 기나긴 슬럼프에 빠지게 된다  하지만 이내 자신의 모든 것을 걸고 마지막 미슐랭  스타에 도전하기로 결심한  아담 은 각 분야 최고의 셰프들을 모으려는 불가능을 실행에 옮기기 위해 런던으로 떠난다  절대 미각의 소스 전문가  스위니  시에나 밀러 와 상위   를 매혹시킨 수셰프  미쉘  오마 사이   화려한 테크닉을 자랑하는 파티시에 맥스  리카르도 스카마르치오 를 포함하여 전폭적인 지원을 아끼지 않는 레스토랑 오너  토니  다니엘 브륄 까지 모두  아담 의 실력만을 믿고 그의 제안을 받아들인다  그러나 주방에 감도는 뜨거운 열기와 압박감은  최강의 셰프 군단 과 완벽을 쫓는  아담  사이의 경쟁심을 극으로 치닫게 만드는데    올 가을  불보다 뜨겁고 칼보다 날카로운 키친 전쟁이 시작된다 ,drama
56,티파니에서 아침을,소매가 치렁한 이브닝 드레스  얼굴을 반이나 가린 검은 안경  그녀는 티파니 보석상을 활보하며 흥미로운 눈빛으로 보석을 바라본다  한 손에 빵을 들고  우아한 몸짓으로 새벽거리를 리드미컬하게 걸어가는 그녀의 이름은 홀리                  오드리 헵번 분   사실 그녀는 택사스 농부의 아내로 어떻게 그녀가 맨하탄에 정착했는지 알 수 없다  가난한 작가인 폴              죠지 페파드 분 은 홀리의 이웃으로 같은 아파트에 살고 있다  그는 부자인 여인의 후원을 받으며 곤욕스러운 애인 노릇을 하던 중  귀엽고 매력적인 홀리에게 점차 호감을 갖게 된다  마음에도 없는 중년 남자가 귀찮게 군다며 한밤 중에 폴의 침대 속으로 들어가 아무렇지도 않게 그의 팔에 안겨 잠드는 그녀의 모습에서  길잃은 고양이를 귀여워하고 무료함을 이기지 못해 아파트 비상 계단에서 기타를 치며             를 흥얼거리는 모습에서  폴은 홀리를 더욱 사랑하게 된다 ,drama
57,NULL,NULL,drama
58,NULL,NULL,drama
59,NULL,NULL,drama
60,패션 오브 크라이스트,열두 제자 중 유다의 배신으로 붙잡  예수  제사장들과 불신으로 가득 찬 군중들은 신성모독죄라는 죄명 하에 그에게 십자가 형을 선고한다  사람들의 탄식과 야유 속에 예수는 골고다 언덕을 오르는데     끝없는 사랑으로 인류의 죄를 대신한 예수 그리스도  그의 마지막   시간을 만나다 ,drama
